Comment,Designator,Footprint,LCSC Part #,Quantity
4.7µH,L1,L_1206_3216Metric,C13585,1
18pF,C14,C16,C_1206_3216Metric,C565686,2
56nH,L4,L5,L_1206_3216Metric,C13585,2
MAX809STRG,U7,SOT-23_ONS,C9965,1
BMP280,U8,Bosch_LGA-8_2x2.5mm_P0.65mm,C83291,1
Si5351A-B-GT,Y1,MSOP-10_3x3mm_P0.5mm,C1509083,1
100nF,C9,C19,C1,C8,C17,C18,C10,C_1206_3216Metric,C24497,7
C132296,Y2,Crystal_SMD_2520-4Pin_2.5x2.0mm,C132296,1
560nH,L3,L2,L_1206_3216Metric,C13585,2
100kΩ,R6,C_1206_3216Metric,C137393,1
AO3401A,Q1,Q2,Q_SOT-23,C15127,2
10kΩ,R8,R14,R15,R11,R9,R12,R_1206_3216Metric,C132649,6
30pF,C15,C_1206_3216Metric,C1905,1
300pF,C12,C_1206_3216Metric,C5449026,1
10µF,C5,C_1206_3216Metric,C13585,1
180pF,C11,C13,C_1206_3216Metric,C3832761,2
ATGM336H-5N31,IC1,ATGM336H5N31,C2940946,1
CJ431,U3,U4,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C3113,2
10kΩ,R7,C_1206_3216Metric,C132649,1
TPS61221DCK,U5,Texas_R-PDSO-G6,C2865756,1
1nF,C7,C_1206_3216Metric,C23631,1
200kΩ,R5,D_1206_3216Metric,C114937,1
